기간,district,dong,totalbanks,koreabank,woori,sc,kb,sinhan,city,keb,zibang,ibk,nh,soohyub,kdb,export,foreign
2015,종로구,소계,138,-,25,6,23,19,1,23,-,9,16,1,2,-,13
2015,종로구,사직동,23,-,2,-,2,2,1,5,-,1,5,-,1,-,4
2015,종로구,삼청동,6,-,2,-,-,1,-,1,-,-,2,-,-,-,-
2015,종로구,부암동,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-
2015,종로구,평창동,5,-,1,-,1,1,-,2,-,-,-,-,-,-,-
2015,종로구,무악동,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
2015,종로구,교남동,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-
2015,종로구,가회동,3,-,-,-,-,2,-,1,-,-,-,-,-,-,-
2015,종로구,종로1.2.3.4가동,60,-,10,5,12,5,-,8,-,4,6,-,1,-,9
2015,종로구,종로5·6가동,11,-,2,-,2,2,-,3,-,1,-,1,-,-,-
2015,종로구,이화동,6,-,-,-,1,2,-,-,-,1,2,-,-,-,-
2015,종로구,창신1동,5,-,1,1,1,1,-,-,-,1,-,-,-,-,-
2015,종로구,창신2동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
2015,종로구,숭인1동,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-
2015,종로구,숭인2동,4,-,1,-,-,1,-,1,-,-,1,-,-,-,-
2015,종로구,청운효자동,3,-,1,-,1,1,-,-,-,-,-,-,-,-,-
2015,종로구,혜화동,5,-,2,-,1,1,-,1,-,-,-,-,-,-,-
2015,중구,소계,209,1,37,8,26,31,4,29,7,18,14,6,2,-,26
2015,중구,소공동,38,1,3,3,3,8,-,6,1,1,4,-,1,-,7
2015,중구,회현동,24,-,7,1,4,1,-,3,-,2,3,-,-,-,3
2015,중구,명동,81,-,9,3,8,11,4,11,6,7,3,3,-,-,16
2015,중구,필동,6,-,2,-,-,2,-,1,-,-,1,-,-,-,-
2015,중구,장충동,6,-,2,-,1,2,-,1,-,-,-,-,-,-,-
2015,중구,광희동,17,-,5,-,3,1,-,3,-,3,1,1,-,-,-
2015,중구,을지로동,11,-,3,1,2,2,-,1,-,1,1,-,-,-,-
2015,중구,신당5동,2,-,-,-,-,-,-,1,-,-,1,-,-,-,-
2015,중구,황학동,5,-,1,-,1,1,-,-,-,2,-,-,-,-,-
2015,중구,중림동,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-
2015,중구,신당동,7,-,1,-,2,1,-,-,-,-,-,2,1,-,-
2015,중구,다산동,4,-,1,-,2,-,-,1,-,-,-,-,-,-,-
2015,중구,약수동,3,-,1,-,-,1,-,-,-,1,-,-,-,-,-
2015,중구,청구동,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-
2015,중구,동화동,2,-,-,-,-,1,-,-,-,1,-,-,-,-,-
2015,용산구,소계,86,-,16,4,12,13,2,17,-,11,10,-,1,-,-
2015,용산구,후암동,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-
