loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
"[127.02117963395807, 37.56475734802141]",투룸,42.9,2,6,True,True,개별 난방,False,True,True,False,False,False,False,True,False,False,True,False,True,False,25100.0
"[127.0104393523, 37.5571796012]",투룸,39.6,2,3,False,False,개별 난방,False,True,True,False,False,False,False,False,False,True,False,False,True,False,9000
"[127.01332423, 37.5636592804]",1.5룸,29.8,-1,2,False,False,개별 난방,True,False,True,True,True,False,False,True,True,True,False,False,False,False,4000
"[127.0002671171575, 37.563299633404846]",1.5룸,41.3,14,20,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,16200.0
"[127.01664336616349, 37.566037489131276]",원룸,30.3,20,22,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,True,True,False,11000.0
"[127.0122773389892, 37.55723348420487]",원룸,23.14,3,5,False,False,개별 난방,True,True,True,False,True,False,False,True,True,False,True,False,True,False,5800.0
"[127.01244915734785, 37.555975673755604]",원룸,23.1,3,11,True,False,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,14000.0
"[127.01686440407666, 37.562429868615]",투룸,36.3,1,1,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6000
"[127.00332325861642, 37.56645307364393]",오피스텔,26.4,10,15,True,True,개별 난방,True,True,True,True,True,True,True,True,True,True,False,True,False,False,9000.0
"[127.0081259781, 37.5566536006]",원룸,23.1,2,2,False,False,개별 난방,False,True,True,False,False,False,False,False,False,False,False,False,False,False,5800
"[127.0013220207541, 37.564272702384436]",원룸,16.5,6,14,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,12660.0
"[126.98974103703924, 37.562228804121524]",원룸,9.9,2,12,False,False,중앙 난방,False,True,True,True,True,True,True,True,True,False,True,True,False,False,3010
"[126.96822769418286, 37.56081941992014]",원룸,29.7,4,39,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,15300.0
"[127.0006972289, 37.5641429643]",투룸,29.7,3,3,False,False,개별 난방,False,False,True,False,False,False,False,False,False,True,False,False,False,False,8000
"[127.01664336616349, 37.566037489131276]",오피스텔,24.6,19,22,True,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,9300.0
"[126.96998769910715, 37.563558910036356]",원룸,39.6,6,12,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,12300.0
"[127.00748272689898, 37.55249103334775]",투룸,39.6,2,3,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7000
"[127.01721778837357, 37.5635182213605]",1.5룸,39.6,3,5,True,True,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,23100.0
"[127.0002671171575, 37.563299633404846]",투룸,39.6,15,20,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,17200.0
"[126.98076935479594, 37.5563351629971]",원룸,21.5,2,5,False,False,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,True,False,8600.0
"[127.0002671171575, 37.563299633404846]",1.5룸,37.0,14,20,True,True,개별 난방,True,True,True,False,False,True,False,True,True,False,True,False,False,True,16200.0
"[127.0193811634, 37.5606887567]",투룸,42.9,1,2,False,False,개별 난방,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7000
"[127.01664336616349, 37.566037489131276]",원룸,30.3,18,22,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,True,True,False,10800.0
"[127.00779952466922, 37.5517702143261]",원룸,26.4,4,5,True,False,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,False,False,8500.0
"[126.96957136074711, 37.56310470127861]",아파트,79.2,18,19,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,47000.0
"[127.0110285196, 37.5616052451]",원룸,23.1,-1,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,True,False,5500
