period,district,dong,population,elder
2016.2/4,종로구,소계,"163,235","25,009"
2016.2/4,종로구,사직동,"9,971","1,692"
2016.2/4,종로구,삼청동,"3,144",623
2016.2/4,종로구,부암동,"11,092","1,721"
2016.2/4,종로구,평창동,"19,607",2964
2016.2/4,종로구,무악동,8515,1194
2016.2/4,종로구,교남동,4828,885
2016.2/4,종로구,가회동,4866,880
2016.2/4,종로구,종로1.2.3.4가동,8761,1809
2016.2/4,종로구,종로5·6가동,5942,1085
2016.2/4,종로구,이화동,9191,1230
2016.2/4,종로구,창신1동,6740,1098
2016.2/4,종로구,창신2동,10873,1571
2016.2/4,종로구,창신3동,7802,1051
2016.2/4,종로구,숭인1동,7213,1031
2016.2/4,종로구,숭인2동,10199,1558
2016.2/4,종로구,청운효자동,14183,2096
2016.2/4,종로구,혜화동,20308,2521
2016.2/4,중구,소계,134175,20434
2016.2/4,중구,소공동,1889,190
2016.2/4,중구,회현동,6175,1295
2016.2/4,중구,명동,3583,653
2016.2/4,중구,필동,5072,771
2016.2/4,중구,장충동,5885,764
2016.2/4,중구,광희동,5830,1049
2016.2/4,중구,을지로동,1882,437
2016.2/4,중구,신당5동,10292,1487
2016.2/4,중구,황학동,13305,1725
2016.2/4,중구,중림동,8991,1533
2016.2/4,중구,신당동,9086,1168
2016.2/4,중구,다산동,16081,2325
2016.2/4,중구,약수동,18992,3165
2016.2/4,중구,청구동,15468,2339
2016.2/4,중구,동화동,11644,1533
2016.2/4,용산구,소계,246934,35990
2016.2/4,용산구,후암동,19519,2878
2016.2/4,용산구,용산2가동,13020,1975
2016.2/4,용산구,남영동,8778,1447
2016.2/4,용산구,원효로2동,15587,2149
2016.2/4,용산구,효창동,9732,1387
2016.2/4,용산구,용문동,13013,1827
2016.2/4,용산구,이촌1동,29002,3987
2016.2/4,용산구,이촌2동,9493,1601
2016.2/4,용산구,이태원1동,8999,1451
2016.2/4,용산구,이태원2동,11107,1841
2016.2/4,용산구,서빙고동,14585,2017
2016.2/4,용산구,보광동,17186,2623
2016.2/4,용산구,청파동,22084,3042
2016.2/4,용산구,원효로1동,14486,1685
2016.2/4,용산구,한강로동,16470,2769
2016.2/4,용산구,한남동,23873,3311
2016.2/4,성동구,소계,305525,38739
2016.2/4,성동구,왕십리2동,16944,2148
2016.2/4,성동구,마장동,24872,3271
2016.2/4,성동구,사근동,12870,1426
2016.2/4,성동구,행당1동,14979,2032
2016.2/4,성동구,행당2동,26016,3153
2016.2/4,성동구,응봉동,16918,2238
2016.2/4,성동구,금호1가동,13655,1981
2016.2/4,성동구,금호4가동,14796,1935
2016.2/4,성동구,성수1가1동,17473,1867
2016.2/4,성동구,성수1가2동,17352,1948
2016.2/4,성동구,성수2가1동,19807,2481
2016.2/4,성동구,성수2가3동,12251,1576
2016.2/4,성동구,송정동,11939,1451
2016.2/4,성동구,용답동,17101,2334
2016.2/4,성동구,왕십리도선동,21085,2600
2016.2/4,성동구,금호2.3가동,24231,3348
2016.2/4,성동구,옥수동,23236,2950
2016.2/4,광진구,소계,374053,40990
2016.2/4,광진구,화양동,24506,2123
2016.2/4,광진구,군자동,22058,2453
2016.2/4,광진구,중곡1동,16397,2056
2016.2/4,광진구,중곡2동,22811,2525
2016.2/4,광진구,중곡3동,18152,2229
2016.2/4,광진구,중곡4동,32052,3989
2016.2/4,광진구,능동,11673,1324
2016.2/4,광진구,구의1동,23523,2650
2016.2/4,광진구,구의2동,25863,3227
2016.2/4,광진구,구의3동,29953,3114
2016.2/4,광진구,광장동,36670,3032
2016.2/4,광진구,자양1동,24205,2730
