loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
"[127.05742626493986, 37.593569878392586]",1.5룸,33.0,3,6,False,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,8300.0
"[127.05943597212807, 37.59196511807082]",원룸,26.4,2,5,False,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,6500.0
"[127.0403559236, 37.5606978664]",원룸,14.9,2,4,False,False,개별 난방,False,True,True,True,True,False,False,True,True,False,True,False,True,False,6000.0
"[127.0579223222179, 37.59078376902699]",1.5룸,19.8,4,5,False,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,5500
"[127.05883704711489, 37.59059591024179]",원룸,16.5,-1,7,False,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,4800.0
"[126.92536359843724, 37.57897858400201]",투룸,39.6,3,5,True,True,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,True,False,10400.0
"[127.05681335719078, 37.59164926038901]",오피스텔,19.8,17,17,True,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,7800.0
"[127.0603536414, 37.5954100445]",투룸,33.0,0,2,False,False,개별 난방,False,True,True,True,True,True,False,False,True,True,False,False,False,False,5500
"[126.95267506396338, 37.49872079137111]",원룸,23.1,1,3,False,False,개별 난방,False,True,True,False,False,True,True,True,True,False,True,True,True,False,7600.0
"[126.95244719283423, 37.501394885779874]",원룸,19.8,3,3,False,False,중앙 난방,False,True,True,False,True,True,False,True,True,False,True,False,True,False,6900.0
"[127.06035305347154, 37.59468204373817]",원룸,19.8,4,4,False,False,개별 난방,False,True,True,True,True,True,False,False,True,False,True,True,True,False,7500.0
"[127.06108399831363, 37.59679359143646]",원룸,19.8,1,2,False,False,개별 난방,False,True,True,True,True,False,False,True,True,True,False,False,True,False,6000.0
"[127.0598662349314, 37.5919576926908]",투룸,39.6,-1,3,False,False,개별 난방,False,False,True,False,False,False,False,False,True,True,False,False,False,False,4200
"[127.05525358269504, 37.58927498546888]",원룸,23.1,5,13,False,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,7700.0
