week1_pop,comp_score,rank1,rank2,rank3,rank4,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,director_score,act_score,pre_score,viewer_num,like_see,screen1
1977223,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,190,451,8.75,1236,12784,931
3590029,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,174,474,8.87,691,9952,957
4195807,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,316,588,8.3,918,20846,1264
5468971,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,88,396,8.99,748,46891,1268
2329907,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,199,305,8.11,1667,4941,786
6236204,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,93,402,8.22,5163,62952,1571
1896771,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,199,295,8.19,557,13693,1009
2263674,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,74,340,7.76,1318,12198,907
3024029,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,122,418,8.81,818,15570,1125
2105432,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,155,343,8.66,560,22459,1123
1873003,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,62,282,9.45,5277,28626,667
2183079,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,56,246,8.47,523,15918,834
106398,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49,98,9.8,192,8651,186
3643920,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,93,368,9.27,1750,14319,1250
2367272,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,52,304,7.9,445,21671,1016
2077176,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,191,271,4.37,3473,7157,768
1207336,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,77,205,8.46,314,7406,740
1797029,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,75,9.68,1492,47687,513
1631344,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,39,339,8.82,494,2407,664
1351838,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,12,40,9.03,818,27413,786
1595084,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,27,258,8.72,237,9189,722
3584220,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,90,435,7.57,2086,35317,901
1439262,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,163,8.45,391,3319,486
1640250,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,31,8.83,980,24306,641
1122618,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,60,8.46,237,5113,693
1192642,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,27,92,9.3,1324,21361,684
915199,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28,9.17,285,8499,577
1150914,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,97,9.39,1308,6176,661
1081277,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,74,254,0,0,0,595
924463,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,94,5.64,2677,17219,633
1247025,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,8.82,868,20055,747
1152830,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,9.28,959,19766,577
870751,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,45,145,8.29,556,8397,892
834162,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,191,2.95,7994,12076,757
1055898,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93,5.61,3152,15718,612
977631,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,90,9.25,524,5205,705
1086549,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,97,9,1478,7489,580
1263150,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,97,8.34,195,5953,443
908997,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,68,35,8.45,339,6179,669
726447,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,194,8.85,374,3052,675
625147,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,134,8.92,379,7164,673
724798,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,421,8.76,566,4634,618
775726,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,10,211,9.07,993,8508,596
324620,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,155,12,9.26,241,8002,374
493627,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.22,858,15600,640
694752,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,64,7.93,255,2973,607
694266,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,43,3,8.31,578,4570,674
696693,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,54,0,9.06,684,8257,840
585311,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,24,8.16,116,4353,424
737292,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,161,9.3,253,5658,510
461185,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,34,8.57,609,4930,413
532416,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,121,8.34,169,5789,517
690891,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,377,9.01,788,10731,584
615046,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,123,8.62,260,8238,481
574058,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,9.17,365,11032,614
533544,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,152,9.67,8786,48999,533
646720,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,173,8.76,526,8746,466
378003,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,317,9.25,444,8738,550
475311,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93,8.32,285,8071,592
598450,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,213,8.31,396,5209,696
392489,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,161,9.37,742,3993,463
554996,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,132,7.78,408,13233,596
495248,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,31,8.48,277,2717,776
522978,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,149,8.12,1103,4085,499
412431,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6.43,2228,39795,518
320247,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,72,7.82,270,6556,368
286045,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,94,6.08,2071,9015,557
287918,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8.99,466,6385,483
335048,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,9.17,830,5859,600
316144,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,21,8.85,366,2757,341
361536,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,150,8.03,285,7380,536
402861,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,81,8.9,296,7092,512
185830,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76,160,1000,363
337189,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8.2,259,3593,382
394400,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,143,6.54,1249,5465,572
385712,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,183,8.38,242,6851,503
317648,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53,202,4059,482
298176,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,7.94,192,2153,348
319644,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,27,9.16,421,6860,430
335291,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,318,8.46,980,2953,637
