week1_pop,comp1_score,comp2_score,rank1,rank2,rank3,rank4,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,director_score,act_score,pre_score,viewer_num,like_see,screen1
1,105645636.0000 ,2277708.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,178.0000 ,505.0000 ,8.6300 ,1681.0000 ,13639.0000 ,1159.0000 
1,69620521.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,93.0000 ,402.0000 ,8.2200 ,5163.0000 ,62952.0000 ,1571.0000 
1,88946120.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,88.0000 ,396.0000 ,8.9900 ,748.0000 ,46891.0000 ,1268.0000 
1,88946120.0000 ,12983341.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,316.0000 ,588.0000 ,8.3000 ,918.0000 ,20846.0000 ,1264.0000 
1,88946120.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,93.0000 ,368.0000 ,9.2700 ,1750.0000 ,14319.0000 ,1250.0000 
1,105645636.0000 ,8188211.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,174.0000 ,474.0000 ,8.8700 ,691.0000 ,9952.0000 ,957.0000 
1,105645636.0000 ,1160119.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,90.0000 ,435.0000 ,7.5700 ,2086.0000 ,35317.0000 ,901.0000 
1,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,96.0000 ,431.0000 ,8.2600 ,552.0000 ,14152.0000 ,820.0000 
1,1422844.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,122.0000 ,418.0000 ,8.8100 ,818.0000 ,15570.0000 ,1125.0000 
1,105645636.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,52.0000 ,304.0000 ,7.9000 ,445.0000 ,21671.0000 ,1016.0000 
1,45486078.0000 ,126955.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,199.0000 ,305.0000 ,8.1100 ,1667.0000 ,4941.0000 ,786.0000 
1,88946120.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,74.0000 ,340.0000 ,7.7600 ,1318.0000 ,12198.0000 ,907.0000 
1,105645636.0000 ,10107002.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,56.0000 ,246.0000 ,8.4700 ,523.0000 ,15918.0000 ,834.0000 
1,88946120.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,155.0000 ,343.0000 ,8.6600 ,560.0000 ,22459.0000 ,1123.0000 
1,0.0000 ,3238456.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,191.0000 ,271.0000 ,4.3700 ,3473.0000 ,7157.0000 ,768.0000 
1,105645636.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,190.0000 ,451.0000 ,8.7500 ,1236.0000 ,12784.0000 ,931.0000 
1,105645636.0000 ,7494027.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,199.0000 ,295.0000 ,8.1900 ,557.0000 ,13693.0000 ,1009.0000 
1,69620521.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,62.0000 ,282.0000 ,9.4500 ,5277.0000 ,28626.0000 ,667.0000 
1,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,75.0000 ,9.6800 ,1492.0000 ,47687.0000 ,513.0000 
1,45486078.0000 ,3016929.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,31.0000 ,8.8300 ,980.0000 ,24306.0000 ,641.0000 
1,88946120.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,39.0000 ,339.0000 ,8.8200 ,494.0000 ,2407.0000 ,664.0000 
1,88946120.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,27.0000 ,258.0000 ,8.7200 ,237.0000 ,9189.0000 ,722.0000 
1,105645636.0000 ,3490382.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,163.0000 ,8.4500 ,391.0000 ,3319.0000 ,486.0000 
1,69620521.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,12.0000 ,40.0000 ,9.0300 ,818.0000 ,27413.0000 ,786.0000 
1,1999624.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,97.0000 ,8.3400 ,195.0000 ,5953.0000 ,443.0000 
1,105645636.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,33.0000 ,8.8200 ,868.0000 ,20055.0000 ,747.0000 
1,88946120.0000 ,1179777.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,77.0000 ,205.0000 ,8.4600 ,314.0000 ,7406.0000 ,740.0000 
1,88946120.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,27.0000 ,92.0000 ,9.3000 ,1324.0000 ,21361.0000 ,684.0000 
1,105645636.0000 ,451669.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,1.0000 ,0.0000 ,0.0000 ,5.0000 ,0.0000 ,9.2800 ,959.0000 ,19766.0000 ,577.0000 
1,88946120.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,97.0000 ,9.3900 ,1308.0000 ,6176.0000 ,661.0000 
1,105645636.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,60.0000 ,8.4600 ,237.0000 ,5113.0000 ,693.0000 
1,69620521.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,97.0000 ,9.0000 ,1478.0000 ,7489.0000 ,580.0000 
