,index,address,animal,building_floor,d_to_bank,d_to_coffe,d_to_conv,d_to_metro,elevator,id,loc,metro_count,parking,price,room_floor,room_options,room_size,room_type,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,biddet,d_to_fancy,park,distance_gn,distance_md,d_to_mac,star_bucks,population,elder,elder_ratio,totalbanks,bank_ratio
0,1,서울특별시 성북구 안암동5가,False,5,357.0,115.0,112.0,390.0,False,57d3d7deeb79d458d3e49bef,"[127.02988696, 37.5897886898]",17.0,False,6500.0,3,"[0, 1, 2, 3, 4, 6, 7, 9, 10, 11]",18.2,원룸,1,1,1,1,1,0,1,1,0,1,1,1,0,5.07222328039,7.04375638573,10.1245838567,6.39670680701,0.600043302704,0.408235291346,44489.7142857,6085.61904762,0.136787101138,8.11111111111,0.000182314299863
1,2,서울특별시 성북구 안암동1가,False,4,294.0,192.0,38.0,440.0,False,57e8ef4608113c2d9db867e2,"[127.021811501, 37.5890083969]",18.0,False,6000.0,1,"[0, 3, 6, 8, 1, 4, 7]",33.0,원룸,1,1,0,1,1,0,1,1,1,0,0,0,0,4.44137521548,6.87377152681,9.92951600994,5.73028326415,0.541685936257,0.330854637946,44489.7142857,6085.61904762,0.136787101138,8.11111111111,0.000182314299863
2,3,서울특별시 성북구 안암동5가,True,6,177.0,90.0,32.0,202.0,True,57e3caf60563db1b28b67957,"[127.030320986, 37.5879181187]",19.0,True,7500.0,6,"[0, 1, 2, 3, 4, 7, 8, 11]",26.4,원룸,1,1,1,1,1,0,0,1,1,0,0,1,0,4.99401333818,6.84558943214,9.92787085111,6.3387009643,0.400469791354,0.196884289692,44489.7142857,6085.61904762,0.136787101138,8.11111111111,0.000182314299863
3,4,서울특별시 동대문구 제기동,False,4,346.0,218.0,256.0,262.0,False,57cbafbc95d80874e524397c,"[127.035343672, 37.5882050393]",18.0,False,4100.0,0,[8],26.4,원룸,0,0,0,0,0,0,0,0,1,0,0,0,0,5.39323176512,6.96879742032,10.054562385,6.75374821828,0.680618565561,0.464335091003,28479.0,4810.0,0.168896379789,9.0,0.000316022332245
4,5,서울특별시 성북구 종암동,False,4,297.0,983.0,163.0,665.0,False,57ebcdc56506e43a6d81ac43,"[127.036955784, 37.5969946226]",16.0,True,5300.0,-1,"[0, 1, 2, 4, 5, 6, 7, 9, 11]",16.5,원룸,1,1,1,0,1,1,1,1,0,1,0,1,0,6.04071712036,7.95181899792,11.0375391966,7.32918789647,0.15790237112,0.557534978038,43444.0,5589.0,0.128648374919,3.0,6.90544148789e-05
5,6,서울특별시 동대문구 제기동,False,5,82.0,59.0,113.0,394.0,False,5799d9996c452309d4b382c1,"[127.030853363, 37.5829913509]",15.0,False,6500.0,1,"[0, 1, 2, 3, 4, 6, 7, 9, 11]",19.8,원룸,1,1,1,1,1,0,1,1,0,1,0,1,0,4.77764147109,6.31676504348,9.40130202463,6.16744170201,0.210148858105,0.145278018749,28479.0,4810.0,0.168896379789,9.0,0.000316022332245
6,7,서울특별시 동대문구 제기동,True,5,356.0,235.0,229.0,363.0,True,57e221ff5ec8c022af36badd,"[127.032138443, 37.5805655333]",22.0,True,24000.0,3,"[0, 1, 6, 11, 9]",46.2,투룸,1,1,0,0,0,0,1,0,0,1,0,1,0,4.77478777315,6.0775010387,9.16322689919,6.18520871646,0.496091023124,0.431298977912,28479.0,4810.0,0.168896379789,9.0,0.000316022332245
7,8,서울특별시 동대문구 제기동,False,3,197.0,249.0,209.0,411.0,False,574cf08917619a045f4b2ccf,"[127.033385585, 37.5846340736]",18.0,False,9500.0,2,"[4, 0, 1, 7, 6, 8]",49.5,투룸,1,1,0,0,1,0,1,1,1,0,0,0,0,5.05749225718,6.54274548894,9.62848054657,6.4411355504,0.362711701664,0.289711912159,28479.0,4810.0,0.168896379789,9.0,0.000316022332245
8,9,서울특별시 동대문구 제기동,False,2,182.0,240.0,198.0,395.0,False,57eb4d406fc8a45e31eda5e7,"[127.033249765, 37.5847278152]",19.0,True,13000.0,1,[],59.4,투룸,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05130115858,6.55018857592,9.63588796075,6.43383159271,0.351670705812,0.273909226724,28479.0,4810.0,0.168896379789,9.0,0.000316022332245
9,10,서울특별시 동대문구 제기동,False,1,259.0,208.0,372.0,524.0,False,57ec8dc2b023d63f83210c71,"[127.035070647, 37.5854552907]",18.0,False,2600.0,1,"[0, 1, 5, 6, 7, 8]",14.8,원룸,1,1,0,0,0,1,1,1,1,0,0,0,0,5.23086223335,6.66647319051,9.75211358852,6.61269575022,0.523285200486,0.3902544574,28479.0,4810.0,0.168896379789,9.0,0.000316022332245
10,11,서울특별시 성북구 안암동1가,False,4,294.0,192.0,38.0,440.0,False,57e8f155aacbd22dcd827176,"[127.021811501, 37.5890083969]",18.0,False,5800.0,3,"[0, 3, 6, 8, 1, 7, 11]",23.1,원룸,1,1,0,1,0,0,1,1,1,0,0,1,0,4.44137521548,6.87377152681,9.92951600994,5.73028326415,0.541685936257,0.330854637946,44489.7142857,6085.61904762,0.136787101138,8.11111111111,0.000182314299863
11,12,서울특별시 동대문구 제기동,False,3,297.0,118.0,206.0,471.0,False,57e20118d78a876d7ea60b84,"[127.032220497, 37.5818232981]",22.0,False,5500.0,2,[],26.4,1.5룸,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83458767454,6.21532474945,9.30097213214,6.23649796523,0.387156392196,0.322312313043,28479.0,4810.0,0.168896379789,9.0,0.000316022332245
12,13,서울특별시 성북구 종암동,False,5,281.0,1072.0,83.0,669.0,True,57691960f669ac776715809c,"[127.036099465, 37.5964723127]",16.0,False,7100.0,2,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12]",19.8,원룸,1,1,1,1,1,1,1,1,0,1,1,1,1,5.94558961998,7.87844200304,10.9639682559,7.23475588292,0.0772114580845,0.580770773365,43444.0,5589.0,0.128648374919,3.0,6.90544148789e-05
13,14,서울특별시 성북구 안암동4가,False,4,29.0,90.0,2.0,509.0,False,57ee1b0357b80f3991698b0f,"[127.024421973, 37.5806178376]",25.0,False,6300.0,2,[],33.0,원룸,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15286066634,5.96628630775,9.03768279844,5.54463816017,0.600336234029,0.443984598451,44489.7142857,6085.61904762,0.136787101138,8.11111111111,0.000182314299863
14,15,서울특별시 성북구 안암동1가,False,4,202.0,222.0,96.0,360.0,False,568e7cc49c174601de89eba2,"[127.02181126, 37.5881830877]",20.0,False,5000.0,3,"[0, 3, 6, 9, 1, 4, 7, 2, 11]",19.8,원룸,1,1,1,1,1,0,1,1,0,1,0,1,0,4.38631963944,6.78227143331,9.83846495718,5.68531048615,0.610253396765,0.394093374116,44489.7142857,6085.61904762,0.136787101138,8.11111111111,0.000182314299863
15,16,서울특별시 성북구 종암동,False,3,343.0,903.0,153.0,696.0,False,57fb35e6d8adac5a5431fe90,"[127.033472324, 37.5962964927]",12.0,False,8600.0,-1,"[0, 1, 6, 7, 8, 11]",39.6,투룸,1,1,0,0,0,0,1,1,1,0,0,1,0,5.74897515516,7.81186505114,10.8955459997,7.02625903789,0.23197911288,0.570820367534,43444.0,5589.0,0.128648374919,3.0,6.90544148789e-05
16,18,서울특별시 성북구 안암동1가,False,3,303.0,128.0,102.0,419.0,False,57b81fac3b66da061bb81541,"[127.021091401, 37.5890265476]",18.0,False,7000.0,3,"[0, 1, 4, 6, 7, 9, 11]",19.8,원룸,1,1,0,0,1,0,1,1,0,1,0,1,0,4.39237714798,6.87177692561,9.9241381135,5.67633056636,0.497545933671,0.282217214054,44489.7142857,6085.61904762,0.136787101138,8.11111111111,0.000182314299863
17,19,서울특별시 동대문구 제기동,False,4,318.0,163.0,209.0,429.0,False,57831c810cf907262d6f8ef2,"[127.031889642, 37.5811854844]",24.0,False,4500.0,2,"[0, 3, 6, 9, 1, 4, 7, 2, 5]",21.4,원룸,1,1,1,1,1,1,1,1,0,1,0,0,0,4.78029351398,6.13975331822,9.2253481766,6.186001429,0.425925893428,0.360894225824,28479.0,4810.0,0.168896379789,9.0,0.000316022332245
18,20,서울특별시 동대문구 제기동,False,5,356.0,235.0,229.0,363.0,True,57e8dca3c97cb80705a7f409,"[127.032138443, 37.5805655333]",22.0,True,11000.0,4,"[0, 1, 8]",24.5,투룸,1,1,0,0,0,0,0,0,1,0,0,0,0,4.77478777315,6.0775010387,9.16322689919,6.18520871646,0.496091023124,0.431298977912,28479.0,4810.0,0.168896379789,9.0,0.000316022332245
19,21,서울특별시 동대문구 용두동,False,5,205.0,265.0,77.0,533.0,True,55b0c22b13548854fc701d3a,"[127.028280576, 37.5815612176]",27.0,False,5030.0,5,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",16.5,원룸,1,1,1,1,1,1,1,1,0,1,0,0,0,4.50531557508,6.11871073862,9.20005681311,5.89978916251,0.32856832897,0.292991357855,49628.5333333,7085.33333333,0.142767332771,9.85714285714,0.000198618459888
20,22,서울특별시 동대문구 제기동,False,2,244.0,112.0,378.0,387.0,False,5767aba43957b26026096881,"[127.034740849, 37.5871780866]",15.0,False,8200.0,2,"[0, 1, 2, 3, 4, 6, 7, 9, 11]",16.5,원룸,1,1,1,1,1,0,1,1,0,1,0,1,0,5.29215365168,6.84536575804,9.9311498167,6.65926120566,0.5710740604,0.370009713465,28479.0,4810.0,0.168896379789,9.0,0.000316022332245
21,23,서울특별시 동대문구 제기동,False,5,159.0,168.0,121.0,326.0,False,57f8b614a6a6483f2ec964eb,"[127.032362144, 37.5847388738]",19.0,False,5500.0,-1,"[0, 3, 6, 9, 1, 7, 4, 2, 10, 11]",19.8,원룸,1,1,1,1,1,0,1,1,0,1,1,1,0,4.98174429192,6.53424203292,9.61957704856,6.36167237442,0.274171507094,0.214713308198,28479.0,4810.0,0.168896379789,9.0,0.000316022332245
